time,weekday,CPU utilization percentage,GPU Utilization,Current battery percentage,Battery Status,Battery Usage
2024-11-16 00:00:00,5,0.05430570003310546,0.11964738903642186,97.49928873005226,2,
2024-11-16 00:10:00,5,0.23158401325535047,0.10561141105831731,98.62392166567139,2,-1.12
2024-11-16 00:20:00,5,0.06779617542741014,0.12262599549894239,93.13632031808982,2,5.49
2024-11-16 00:30:00,5,0.1692224981312123,0.036610777772949445,85.08363027316736,2,8.05
2024-11-16 00:40:00,5,0.1385818757438458,0.18189876432659385,81.74695548491619,2,3.34
2024-11-16 00:50:00,5,0.048354616202205325,0.14701413023319274,88.82283290937065,2,-7.08
2024-11-16 01:00:00,5,0.10713173594555186,0.14742486739281088,92.35885373441397,2,-3.54
2024-11-16 01:10:00,5,0.14369029809994596,0.18330004831753025,87.92263629156386,2,4.44
2024-11-16 01:20:00,5,0.24837913630713948,0.08360271989424628,80.38644548567916,2,7.54
2024-11-16 01:30:00,5,0.2540909639920472,0.060409485766119826,83.40760417797792,2,-3.02
2024-11-16 01:40:00,5,0.0948447264442945,0.26278467025178887,92.6755893509119,2,-9.27
2024-11-16 01:50:00,5,0.1935040361410925,0.009383740895260862,91.49182315413532,2,1.18
2024-11-16 02:00:00,5,0.05963726540797187,0.18554411580627447,96.26246223368821,2,-4.77
2024-11-16 02:10:00,5,0.23089022252329916,0.04653247786508408,83.75029091314329,2,12.51
2024-11-16 02:20:00,5,0.07567573895551993,0.12507290585775227,89.07257314222561,2,-5.32
2024-11-16 02:30:00,5,0.022349841582020136,0.12499022911472428,91.76510593595584,2,-2.69
2024-11-16 02:40:00,5,0.00939856782153734,0.09615561331249066,94.98746234325415,2,-3.22
2024-11-16 02:50:00,5,0.09000710549831327,0.08887924752629302,86.26959228506131,2,8.72
2024-11-16 03:00:00,5,0.13833269365353937,0.09637110473600345,94.54153592912908,2,-8.27
2024-11-16 03:10:00,5,0.21481686960691357,0.12341732267359831,81.6200535692072,2,12.92
2024-11-16 03:20:00,5,0.15537744252457594,0.1251513153378046,97.98379007317645,2,-16.36
2024-11-16 03:30:00,5,0.18642301799131725,0.16400925699330454,98.49966963968278,2,-0.52
2024-11-16 03:40:00,5,0.05480491558988676,0.27619738213285766,84.9924900980599,2,13.51
2024-11-16 03:50:00,5,0.11515042985834435,0.09433354233494937,86.70539687496775,2,-1.71
2024-11-16 04:00:00,5,0.015616567026864647,0.18636488751725033,91.93302117745061,2,-5.23
2024-11-16 04:10:00,5,0.13149168324205432,0.2712746528053757,91.28699773460151,2,0.65
2024-11-16 04:20:00,5,0.07990252075874217,0.19975320902811858,97.32552493933595,2,-6.04
2024-11-16 04:30:00,5,0.028487974225160816,0.05208630992456501,85.30957749789312,2,12.02
2024-11-16 04:40:00,5,0.19868420207653545,0.24565142113089328,89.34651424405932,2,-4.04
2024-11-16 04:50:00,5,0.2711927528919146,0.27883446468491224,97.16106982135682,2,-7.81
2024-11-16 05:00:00,5,0.23953185401703822,0.24992806158685615,94.04855507596868,2,3.11
2024-11-16 05:10:00,5,0.12191213749723596,0.20313202902437533,91.80081281985571,2,2.25
2024-11-16 05:20:00,5,0.07904146155745465,0.18036115249447074,81.28282595030186,2,10.52
2024-11-16 05:30:00,5,0.22103317836413588,0.05576888826731844,85.18194054302543,2,-3.9
2024-11-16 05:40:00,5,0.18178412731197474,0.041026393600682165,88.69902159152844,2,-3.52
2024-11-16 05:50:00,5,0.06359191051215143,0.17873858361709435,94.10973765304146,2,-5.41
2024-11-16 06:00:00,5,0.34646570984984565,0.2375967379490248,91.90380243163091,2,2.21
2024-11-16 06:10:00,5,0.05474486247972532,0.28956780119566655,87.14749782155859,2,4.76
2024-11-16 06:20:00,5,0.08678455303613615,0.26068965552079093,88.64388877475089,2,-1.5
2024-11-16 06:30:00,5,0.0934162788950697,0.25681306914776697,68.92527218681202,2,19.72
2024-11-16 06:40:00,5,0.19283278379184027,0.03980544614692951,83.36032227785607,2,-14.44
2024-11-16 06:50:00,5,0.1596304563860944,0.24885905544225903,80.66094454932619,2,2.7
2024-11-16 07:00:00,5,0.13175992906900316,0.25343249866998835,70.7105876461767,2,9.95
2024-11-16 07:10:00,5,0.12001677228244266,0.027530772442226546,70.35163801117614,2,0.36
2024-11-16 07:20:00,5,0.035775499866106134,0.29552894704263705,95.05577527339705,2,-24.7
2024-11-16 07:30:00,5,0.06893915091584053,0.27232903764581984,80.63382312974854,2,14.42
2024-11-16 07:40:00,5,0.10673446073844649,0.0868479825267897,85.24623044846771,2,-4.61
2024-11-16 07:50:00,5,0.1320556743815593,0.015892184367362273,88.75000250386702,2,-3.5
2024-11-16 08:00:00,5,0.07826877941216522,0.10676095404968931,98.3805645117045,2,-9.63
2024-11-16 08:10:00,5,0.025356807935658088,0.10774114504369249,77.15471728659779,2,21.23
2024-11-16 08:20:00,5,0.2331415406499593,0.11413913028094044,78.33232929761756,2,-1.18
2024-11-16 08:30:00,5,0.3769117813985159,0.04376143867060739,95.93401914681205,2,-17.6
2024-11-16 08:40:00,5,0.2146133806476065,0.2093039976319833,83.9490707946804,2,11.98
2024-11-16 08:50:00,5,0.03435427889996889,0.24329237083808516,90.0191118727622,2,-6.07
2024-11-16 09:00:00,5,0.3293815188798508,0.26645823359896936,87.88263405474976,2,2.14
2024-11-16 09:10:00,5,0.053629346731372075,0.0777575634796785,92.49279168488191,2,-4.61
2024-11-16 09:20:00,5,0.08616655083072243,0.14325265917021643,92.5455827003575,2,-0.05
2024-11-16 09:30:00,5,0.16962246905719294,0.10770007589111076,73.59721206109808,2,18.95
2024-11-16 09:40:00,5,0.05744013369222394,0.00233654049841181,98.03915027343211,2,-24.44
2024-11-16 09:50:00,5,0.01231346594325773,0.1744974852191075,73.84794012763533,2,24.19
2024-11-16 10:00:00,5,0.16404323663647102,0.15520102831936428,68.31606544399153,2,5.53
2024-11-16 10:10:00,5,0.1504652685060291,0.1270320254283558,73.55897537319163,2,-5.24
2024-11-16 10:20:00,5,0.11408902673786421,0.29957385021871064,91.41564647320176,2,-17.86
2024-11-16 10:30:00,5,0.02369918055103475,0.1232169843894902,82.86431306484812,2,8.55
2024-11-16 10:40:00,5,0.01210376000833202,0.11792958499882374,94.01475557330755,2,-11.15
2024-11-16 10:50:00,5,0.31761444250631077,0.28853424968526153,91.4446898143336,2,2.57
2024-11-16 11:00:00,5,0.06535096027139686,0.06338036289955969,77.43719682789485,2,14.01
2024-11-16 11:10:00,5,0.13541387546086245,0.165259208243043,74.17796878625684,2,3.26
2024-11-16 11:20:00,5,0.2621576016019815,0.18272658067803907,98.39335967872842,2,-24.22
2024-11-16 11:30:00,5,0.17163864976832538,0.18770246538515706,65.01999234416961,2,33.37
2024-11-16 11:40:00,5,0.10865108355373572,0.2051933806939138,87.08835484355653,2,-22.07
2024-11-16 11:50:00,5,0.015623270790575551,0.25874788933182963,94.07163350933376,2,-6.98
2024-11-16 12:00:00,5,0.3400104676644739,0.6283574654227546,73.32720971651788,2,20.74
2024-11-16 12:10:00,5,0.4771564213153266,0.6216222965379838,56.66826079571196,2,16.66
2024-11-16 12:20:00,5,0.6448762701150332,0.7727677351140316,66.63400504231049,2,-9.97
2024-11-16 12:30:00,5,0.7055828039846912,0.826692638786202,99.43697422109969,2,-32.8
2024-11-16 12:40:00,5,0.7352667770163656,0.826448217096164,50.12919324335581,2,49.31
2024-11-16 12:50:00,5,0.7188880958291912,0.8987240288163159,82.68780967428052,2,-32.56
2024-11-16 13:00:00,5,0.30254568944353727,0.6759410823623649,95.02639189413102,2,-12.34
2024-11-16 13:10:00,5,0.5358077561101735,0.702791081296742,25.130660412615757,4,69.9
2024-11-16 13:20:00,5,0.42375882999079434,0.6892572092211138,23.600393372172405,4,1.53
2024-11-16 13:30:00,5,0.7061365734052478,0.6740224674858268,27.043264304910466,4,-3.44
2024-11-16 13:40:00,5,0.7358920312949926,0.5128997643542315,60.813370135171255,2,-33.77
2024-11-16 13:50:00,5,0.40231107356896084,0.5459358628874276,92.95865611055052,2,-32.15
2024-11-16 14:00:00,5,0.3214993712505414,0.776695473339915,91.86568848093216,2,1.09
2024-11-16 14:10:00,5,0.6549647093623086,0.8609022521719545,57.314711167740064,2,34.55
2024-11-16 14:20:00,5,0.5095556559449248,0.651156784994222,76.87254238302603,2,-19.56
2024-11-16 14:30:00,5,0.48463487381231596,0.75915695135722,25.73877086589425,4,51.13
2024-11-16 14:40:00,5,0.44346064876511904,0.8820835871178428,25.699818823134592,4,0.04
2024-11-16 14:50:00,5,0.5799542785296798,0.790313233990529,74.9150358303061,2,-49.22
2024-11-16 15:00:00,5,0.7555407391492415,0.7597792397253896,58.921671796610724,2,15.99
2024-11-16 15:10:00,5,0.715860377508481,0.7471066282782006,55.43539383435128,2,3.49
2024-11-16 15:20:00,5,0.7912757317381038,0.7284763794239287,58.12717122211606,2,-2.69
2024-11-16 15:30:00,5,0.38697475092092964,0.8503577397980876,29.661919139582047,4,28.47
2024-11-16 15:40:00,5,0.5023084910904778,0.5774521843954332,61.30748605516978,2,-31.65
2024-11-16 15:50:00,5,0.7415011356067733,0.8683177497467875,91.8670255033638,2,-30.56
2024-11-16 16:00:00,5,0.359253398739909,0.6367348082614809,63.86929097330041,2,28.0
